mouse,ll_m0,ll_m1,ll_m2_q,ll_m2_b,ll_m3_q,ll_m3_b,alpha_pos,alpha_neg,beta,n_folds,delta_m2q_m1,delta_m2b_m2q
NYU-23,-0.6963284308113932,-0.41689853876143085,-0.17433634690420097,-0.12458954195458508,-0.14989869842726222,-0.11889106344307782,0.2727614295126888,0.8648952394851042,0.4846286902934249,2,0.24256219185722988,0.04974680494961589
DY_011,-0.6894175374778191,-0.31098865596410186,-0.1400332741211779,-0.10955455220865923,-0.11677264889603448,-0.09532124268097339,0.2194854069640121,0.6532197847229111,0.9529864493443527,2,0.17095538184292397,0.030478721912518658
CSHL_007,-0.6881865293426837,-0.39151358400914,-0.14558700399643038,-0.07369426330195929,-0.1308712323548955,-0.07321531825704661,0.4745928124836506,0.9616279820559144,0.3313385551457527,2,0.24592658001270962,0.07189274069447109
CSHL_010,-0.6941676273613493,-0.40961742632540477,-0.09343834627427634,-0.06416070690632503,-0.08736397006953384,-0.06146043962332053,0.2513754395680079,0.7471596733695423,0.9092433283376531,2,0.31617908005112844,0.029277639367951316
DY_010,-0.6919584227041411,-0.2667397455226015,-0.1153317584185279,-0.10089296473767907,-0.10130651311578158,-0.0988103844540622,0.18290963862510676,0.5702889237175941,1.4004536719021563,2,0.1514079871040736,0.014438793680848827
IBL-T3,-0.6655270169058721,-0.3537485591451179,-0.14762738911783552,-0.08426636842747859,-0.14458395281139333,-0.078204312861471,0.3859080787451766,0.9164236183664264,0.4789471938277318,2,0.20612117002728236,0.06336102069035693
NYU-06,-0.6937172138934474,-0.3330829849290229,-0.15810640823200764,-0.10021133386727896,-0.14016651233204336,-0.09331696683892421,0.23628471268776916,0.9678109818008498,0.5608771480003634,2,0.17497657669701525,0.05789507436472868
CSHL_008,-0.7007695321292531,-0.3249055927052875,-0.08383178434487382,-0.06456331744728952,-0.07690267845461016,-0.0613345003293252,0.33811644409843694,0.6995312323282223,0.6833257972522936,2,0.2410738083604137,0.019268466897584297
SWC_043,-0.6650711495047166,-0.3721155103102356,-0.14077032221090757,-0.09785774207758478,-0.12523625293941404,-0.09176211976997445,0.4973907805327699,0.7028603401120861,0.4471256789673027,2,0.23134518809932803,0.04291258013332279
ZM_1746,-0.6950199319365393,-0.3218760206499892,-0.12986879689365416,-0.09484810708244176,-0.12148067227808274,-0.08216173152899506,0.22067193106973657,0.9066158406860223,0.7815006774242536,2,0.19200722375633505,0.0350206898112124
SWC_021,-0.6881834267754401,-0.4268658685165247,-0.1280066317903759,-0.10782768089925286,-0.11863146354865978,-0.0985289473860467,0.49476174962026176,0.44432153620931025,1.0984154070187382,2,0.2988592367261488,0.02017895089112305
NYU-09,-0.6964701200878143,-0.3818592495948209,-0.20402692056481148,-0.12222423717946451,-0.18300016001168182,-0.11065161199109241,0.23796173804954043,0.9750578513389216,0.6564708205599382,2,0.17783232903000945,0.08180268338534696
IBL-T2,-0.6924283452643641,-0.33673791192819214,-0.12126452551838435,-0.09288337731954038,-0.11813245657772406,-0.08802731068331117,0.358666911343924,0.6788127301343788,0.6330213197856868,2,0.2154733864098078,0.028381148198843964
ZM_1369,-0.6939650194253228,-0.34080353561663856,-0.14468896371207646,-0.09977355837724179,-0.12303061867904017,-0.08774791400694637,0.30452937327386226,0.7154269676405735,0.9513909707207425,2,0.1961145719045621,0.044915405334834665
ZM_1372,-0.6940446319279941,-0.3337098773045595,-0.1007334675019232,-0.08806625666269252,-0.09937947005531188,-0.08802993231575557,0.3639550517664731,0.585460467749612,1.0374545361393577,2,0.2329764098026363,0.012667210839230683
CSHL046,-0.6841473367325197,-0.37969042456179974,-0.13457734134492655,-0.1070473975418737,-0.12640951926082378,-0.09395602536481037,0.2851702967858476,0.6425870212264073,0.8835297503911804,2,0.2451130832168732,0.027529943803052848
ZM_1371,-0.6935946141581643,-0.27284113329123694,-0.11938564341195523,-0.09599798994202526,-0.105348324096746,-0.08688138307084392,0.32735434110003936,0.7572035655829135,0.8428984413205307,2,0.1534554898792817,0.023387653469929978
IBL-T4,-0.6934883942294541,-0.31951350492296493,-0.14520377327285378,-0.09053380935925984,-0.1307822502359784,-0.08540441016266873,0.2639870020202369,0.9309869592400032,0.5258167341626748,2,0.17430973165011115,0.05466996391359394
ZM_1743,-0.6935595481085828,-0.34819805150249583,-0.1252833263825044,-0.10236216635438644,-0.11578704506966299,-0.09689881601332856,0.21513889502675868,0.7797681898509118,0.8557346131756236,2,0.22291472511999144,0.02292116002811795
ibl_witten_14,-0.6910540520254492,-0.3109511767510065,-0.11788163602193825,-0.10691196845246725,-0.10979161181765645,-0.09253896119144076,0.25425247593342326,0.45966104277514985,1.7505066407497052,2,0.19306954072906823,0.010969667569471
CSHL_003,-0.6932349687940387,-0.3017078863787711,-0.0829469575472507,-0.07284601335927374,-0.08114922567167673,-0.06551336797514738,0.23779404579608462,0.5680313940483325,1.3156076863766526,2,0.2187609288315204,0.010100944187976968
NYU-25,-0.6872466925654195,-0.4075342673527029,-0.180972262478645,-0.11003025554161606,-0.16323914138534532,-0.10906578516412575,0.45521899972605523,0.865952384015098,0.7058466983871906,2,0.22656200487405787,0.07094200693702894
CSHL_015,-0.6860971099691038,-0.37590668214341605,-0.13390516152327608,-0.1111818116003378,-0.12257612144603683,-0.10373699474111,0.2855635828538705,0.49241836391561744,1.5524517446875474,2,0.24200152062013996,0.022723349922938285
SWC_030,-0.6942879144149896,-0.4670062848644395,-0.14316872551533377,-0.1194521650576981,-0.130886636595208,-0.10954227419352941,0.3146170532213395,0.46214848721066654,0.9925673641203924,2,0.32383755934910574,0.023716560457635677
CSHL_002,-0.6749856742972575,-0.31689199566602033,-0.11592061234304815,-0.06001114387680251,-0.11079796121180338,-0.06022824659018508,0.4970978253144583,0.8751275444441238,0.6503709602479933,2,0.20097138332297218,0.05590946846624564
CSHL_014,-0.6921772850302508,-0.3718353296835881,-0.13676053637131924,-0.11116444272380882,-0.12667351516712153,-0.102804947004805,0.33919695536612837,0.6320275782364044,0.9888668456761632,2,0.23507479331226888,0.02559609364751042
ZM_1745,-0.6801797797884022,-0.3178465456621963,-0.12001876222007615,-0.09508491836278835,-0.11480578254437393,-0.0920222706160678,0.48316918868171793,0.7649275960251296,0.6821722057047598,2,0.19782778344212013,0.024933843857287807
NYU-01,-0.6895652624622575,-0.3860068188448631,-0.15462105571634593,-0.07542757082823676,-0.13223618300334072,-0.07375199839159016,0.3910857979472567,0.9329966696465765,0.557938086613408,2,0.23138576312851716,0.07919348488810918
NYU-02,-0.6944881400921115,-0.3632775331392689,-0.14844872231093592,-0.0806348448793651,-0.13868615701398646,-0.07481011730239051,0.3255442379813861,0.9795744073698415,0.48407008680235064,2,0.214828810828333,0.06781387743157082
IBL-T1,-0.6903687734984691,-0.26027613873940925,-0.1289612131370315,-0.07476518790215636,-0.12335050240025666,-0.07022996024373232,0.3036559988203441,0.9755204370768937,0.532124619747396,2,0.13131492560237776,0.05419602523487513
ibl_witten_13,-0.6857987425457418,-0.3029875701838664,-0.10956273104394568,-0.0971888863428806,-0.09818044581674171,-0.09672140105254715,0.26242594183121104,0.506713797598099,1.3360120678098588,2,0.19342483913992073,0.012373844701065076
ibl_witten_12,-0.6929202474540629,-0.2582441561744955,-0.1283738651478591,-0.11377871164023973,-0.1206478014061845,-0.10866932337069238,0.19424880922308724,0.630900720553446,1.2960880434951132,2,0.1298702910266364,0.014595153507619363
ibl_witten_04,-0.6901967553677865,-0.31591912490476426,-0.11744350106658547,-0.08216542220420511,-0.09932926597719864,-0.07772139853065466,0.32330736984680536,0.7899493312311531,0.8139132020007839,2,0.1984756238381788,0.03527807886238035
ibl_witten_06,-0.6927242144325281,-0.3300913707722302,-0.0849658695654115,-0.07347016173137771,-0.08091937265244928,-0.07368302323237305,0.2190093429686463,0.5492814708365938,1.4425459468850792,2,0.24512550120681872,0.01149570783403378
ibl_witten_07,-0.6629084724339052,-0.35031627037343416,-0.12049324985826387,-0.09118187077828172,-0.10753787927550931,-0.08880028312228494,0.49756758125353195,0.6252107782700046,0.5968152478416688,2,0.22982302051517028,0.02931137907998216
NYU-04,-0.6913405853024548,-0.3016482403039029,-0.1073056273535804,-0.08071460241534162,-0.09605915954482143,-0.07863728504266246,0.323170609492697,0.6932982304190239,0.7969210180777234,2,0.1943426129503225,0.026591024938238783
